# chinese,pinyin,english and descriptions
那,na4,that/those
那是,na4 shi4,that is/that's
那个,na4 ge4,that one
那两个,na4 liang3 ge4,those two
那儿,na4 r,there/over there
这,zhe4,this/these
这儿,zhe4 r,here/over here
这个,zhe4,this one
这两个,na4 liang3 ge4,these two
谁,shei2,who?
有,you3,have/possess
没有,mei2 you3,does not have
爱,ai4,love
妈妈,ma1 ma,mom
母亲,mu3 qin1,mother
爸爸,ba4 ba,dad
父亲,fu4 qin1,father
女儿,nu3 er2,daughter
儿子,er2 zi,son
姐姐,jie3 jie,older sister
哥哥,ge1 ge,older brother
妹妹,mei4 mei,younger sister
弟弟,di4 di,younger brother
洗手间,xi3->2 shou3 jian1,bathroom
医院,yi1 yuan4,hospital
饭馆,fan4 guan3,restaurant
