# chinese,pinyin,english and descriptions
,jin1 tian1,today/11
,zhong1 guo2,china/12
,bing1 shui3,ice water/13
,zhi1 dao4,to know/14
,zhen1 de,really/15
,ming2 tian1,tomorrow/21
,ming2 nian2,next year/22
,pi2 jiu3,beer/23
,rong2 yi4,easy/24
,shen2 me,what?/25
,xi3 huan1,to like/31
,qi3 chuang2/to get up/32
,ni3->2 hao3,hello/33
,chao3 fan4,fried rice/34
,wo3 de,wo3 de/35
,mian4 bao1,bread/41
,wen4 ti2,question/42
,zhe4 li3,here/43
,zai4 jian4,goodbye/44
,xie4 xie,thanks/45
