# chinese,pinyin,english and descriptions
新鲜,xin1 xian1,fresh/novel/uncommon (adj)
包,bao1,mw for small sealed bags like snacks
袋,dai4,mw for large open bags like shopping
面包,mian4 bao1,bread
包子,bao1 zi,steamed bun/steamed stuffed bun
肉包子,rou4 bao1 zi,meat stuffed bun/meat steamed bun
菜包子,cai4 bao1 zi,vegetable stuffed bun/vegetable steamed bun
糖,tang2,sugar/candy
米,mi3,rice/meter (distance)
为,wei2 :: wei4,take item as/act as/serve as :: for (c. 为什么)/about (subj-为-obj-emotion)
因,yin1,cause/reason (c. 因为)
为什么,wei4 shen2 me,why?/for what? (adjacent to person targeted)
因为,yin1 wei4,because/since (before 所以)
所,suo3,actually/that which/mw for houses and colleges (c. 所以/交易所)
所以,suo3:2 yi3,so/therefore/that's why (after 因为)
因为，所以,yin1 wei4 : suo3:2 yi3,because ... so
因为我很胖，所以她不高兴,yin1 wei4 wo3:2 hen3 pang4 : suo3:2 yi3 ta1 bu4 gao1 xing4,because i am fat so she is unhappy (formal)
我很胖，所以她不高兴,wo3:2 hen3 pang4 : suo3:2 yi3 ta1 bu4 gao1 xing4,i am fat so she is unhappy (informal)
她不高兴，因为我很胖,ta1 bu4 gao1 xing4 : yin1 wei4 wo3:2 hen3 pang4,she is unhappy because i am fat (informal)
牙,ya2,tooth/ivory (c. 刷牙)
西班牙,xi1 ban1 ya2,spain country
西班牙文,xi1 ban1 ya2 wen2,spanish language (alt 西班牙语)
印,yin4,print/mark/engrave (c. 打印/印度)
度,du4,measure/angle or temperature degree/consider (c. 温度/印度/度假/度假区/速度)
速度,su4 du4,speed/rate/velocity/music tempo
印度,yin4 du4,india country
印度语,yin4 du4 yu3,indian language/hindi (alt 印度文)
度假,du4 jia4,take a vacation
度假区,du4 jia4 qu1,vacation resort
爱好,ai4 hao4,hobby/interest
松,song1,loose (noun)/loosen (verb) (c. 轻松)
轻,qing1,light/easy/gentle/soft (c. 轻松/轻声)
轻松,qing1 song1,take things less seriously/not demanding (adj)
放松,fang4 song1,loosen/relax (verb)
旅游,lv3 you2,trip/personal travel (noun) (alt. 旅行)
旅行,lv3 xing2,trip/personal travel (noun) (alt. 旅游)
照,zhao4,illuminate/shine/reflect (c. 照相机/拍照/照片/照顾)
相,xiang1 :: xiang4,appearance/portait/picture (c. 照相机) :: mutual/reciprocal (c. 相同/相信/真相)
相机,xiang4 ji1,camera (alt. 照相机)
照相机,zhao4 xiang4 ji1,camera (alt. 相机)
拍,pai1,pat/clap/slap/swat (c. 拍照/自拍)
拍照,pai1 zhao4,take a picture (verb)/photography (noun)
我去中国,wo3 qu4 zhong1 guo2,i go to china (as a matter of habit)
我去了中国,wo3 qu4 le zhong1 guo2,i went to china
我去过中国,wo3 qu4 guo4 zhong1 guo2,i have been to china
我不去中国,wo3 bu4:2 qu4 zhong1 guo2,i do not go to china (as a matter of habit)
我没有去中国,wo3 mei2 you3 qu4 zhong1 guo2,i did not go to china (optional 有)
我没有去过中国,wo3 mei2 you3 qu4 guo4 zhong1 guo2,i have not been to china (optional 有)
我吃米饭,wo3 chi1 mi3 fan4,i eat rice
你喝了热茶,ni3 he1 le re4 cha2,you drank hot tea
他们看过报纸,ta1 men kan4 guo4 bao4 zhi3,they have read a newspaper
它不吃鱼,ta1 bu4 chi1 yu2,it does not eat fish
她没有唱歌,ta1 mei2 you3 chang4 ge1,she did not sing a song
我们没听过音乐,wo3 men mei2 ting1 guo4 yin1 yue4,we have not listened to music
脏,zang1,dirty/filthy
抽,chou1,draw out/remove part of the whole (c. 抽烟)
烟,yan1,cigarette/tobacco/smoke/mist (c. 抽烟)
抽烟,chou1 yan1,smoke a cigarette (verb) (alt. 吸烟)
还,hai2 :: huan2,still/yet/acceptable (+adj) :: to give back an item/to return an item
还是,hai2 shi4,or?/still is/nevertheless
肉,rou4,meat/flesh/pulp of a fruit
牛肉,niu2 rou4,beef/cow meat
鸡肉,ji1 rou4,chicken meat
羊,yang2,sheep
羊肉,yang2 rou4,lamb/mutton/sheep meat
猪,zhu1,pig/hog/swine
猪肉,zhu1 rou4,pork/pig meat
条,tiao2,strip/mw for long and soft objects or animals
面条,mian4 tiao2,noodles
写,xie3,write
本,ben3,root/stem/source/origin/mw for books or magazines
张,zhang1,spread open/mw for flat objects (paper or tables)/common surname
王,wang2,king/monarch/common surname
日本,ri4 ben3,japan country
日文,ri4 wen2,japanese language (alt 日语)
海,hai3,sea/ocean (c. 上海/海边)
上海,shang4 hai3,shanghai city
料,liao4,material/stuff/grain (c. 饮料)
饮,yin3,beverage/drink (c. 饮料)
饮料,yin3 liao4,beverage/drink (noun)
工,gong1,work/job/profession (noun)
作,zuo4,do/grow (c. 工作/作业)
工作,gong1 zuo4,work or operate machine (verb)/job (noun)
觉得,jue2 de,think/feel based on 5 senses/have subjective opinion about (weaker and less formal than 认为)
累,lei4,tired/weary
健,jian4,build/set up/construct (c. 健康)
康,kang1,peaceful/abundant (c. 健康)
健康,jian4 kang1,health/healthy
胖,pang4,fat/chubby/plump
瘦,shou4,thin/lean/tight
不要,bu4:2 yao4,do not/don't (often negates a command & formal)
别,bie2,separate/distinguish/other/do not/don't (often negates a command & colloquial)
吧,ba,softening suffix/suggestion particle (let's ...)
大,da4,big/large/great
小,xiao3,small/little/tiny
注,zhu4,concentrate/inject/pour into (c. 注意)
意,yi4,idea/meaning/thought (c. 注意/意思/愿意/同意/满意)
注意,zhu4 yi4,pay attention to/take note of
身,shen1,body (c. 身体/身上/合身)
身体,shen1 ti3,body
身体健康,shen1 ti3 jian4 kang1,healthy body/one's health
开,kai1,start/open/drive car
始,shi3,start/beginning (noun)
开始,kai1 shi3,start/begin/beginning (verb or adj)
锻,duan4,forge/discipline (verb)/wrought (adj) (c. 锻炼)
炼,lian4,refine/smelt/temper with fire (c. 锻炼/炼钢)
锻炼,duan4 lian4,train/work out
提,ti2,lift/carry/put forward (c. 提供)
手提,shou3 ti2,portable
手提包,shou3 ti2 bao1,handbag/purse
手提电脑,shou3 ti2 dian4 nao3,laptop/portable computer
等等,deng3:2 deng3,wait a bit/hold on/et cetera/etc.
安静一下,an1 jing4 yi1:2 xia4,quiet down
等一下,deng3 yi1:2 xia4,wait a bit/hold on
等一会儿,deng3 yi1:2 hui4 r,wait a moment
看看,kan4 kan4:,look a bit/have a look
说说,shuo1 shuo1:,speak a bit/say a few words
走走,zou3 zou3:,walk a bit
笑,xiao4,laugh/smile
笑一笑,xiao4 yi1:2 xiao4,laugh a bit/smile a bit
用一用,yong4 yi1:2 yong4,use a bit/use for a bit
尝,chang2,taste/try/experience
尝一尝,chang2 yi1:4 chang2,taste a bit
聊,liao2,chat
聊一聊,liao2 yi1:4 liao2,chat a bit
讨论,tao3 lun4,discuss/talk over (no strong opinions)
讨论讨论,tao3 lun4 tao3 lun4,discuss a bit
打听,da3 ting1:,ask about/make inquiries
打听打听,da3 ting1: da3 ting1:,ask a bit about
读,du2,read with focus (verb)/reading (noun)
念,nian4,read with focus (usually out loud)/scold/attend school
商,shang1,trader/business (c. 商业/商店/电商)
业,ye4,industry/occupation (c. 商业/作业)
商业,shang1 ye4,business
商人,shang1 ren2,business person/merchant
迎,ying2,meet/welcome/greet (c. 迎接/欢迎)
接,jie1,pick up someone/answer phone/meet (c. 迎接)
迎接,ying2 jie1,meet/greet/welcome (verb)/greeting (noun)
欢迎,huan1 ying2,welcome (verb or noun) (c.  欢迎光临)
临,lin2,face/overlook (verb) (c. 光临)
光临,guang1 lin2,honor with one's presence/attend (c. 欢迎光临)
欢迎光临,huan1 ying2 guang1 lin2,welcome
需,xu1,need/require (c. 需要)
需要,xu1 yao4,need or demand (verb)/required (adj)
字中文,zi4 zhong1 wen2,chinese character
难,nan2,difficult/problem/hard to do
思,si1,think/consider (c. 意思)
意思,yi4 si1:,meaning/idea/opinion
站,zhan4,stand/halt/stop (verb)/station (noun)
哪个站,na3 ge4 zhan4,which stop/station? (transportation)
车,che1,vehicle/transportation/car
开车,kai1 che1,drive car
上车,shang4 che1,get on/get in/embark onto generic vehicle
下车,xia4 che1,get off/get out/disembark from generic vehicle
船,chuan2,boat/vessel/ship
铁,tie3,iron (metal noun) (c. 钢铁/地铁)
地铁,di4 tie3,subway/metro
酒,jiu3,alcohol/wine/liquor
店,dian4,inn/shop/store (c. 商店/饭店/酒店)
酒店,jiu3 dian4,hotel (common)/pub/bar
旅馆,lv3:2 guan3,hotel (northern)
随,sui2,follow/comply with (c. 随便)
便,bian4,plain/convenient (c. 随便/便宜/方便)
随便,sui2 bian4,as one pleases/as one wishes/casual
随你,sui2 ni3,as you wish/it's up to you
准,zhun3,allow/approve/grant (c. 准备)
出,chu1,go out/come out/occur (c. 出去)
出去,chu1 qu4,go out
出来,chu1 lai2,come out/emerge
进去,jin4 qu4,go in
进来,jin4 lai2,come in
租,zu1,rent/hire (c. 房租/出租车)
汽,qi4,steam/vapor (c. 汽车)
汽车,qi4 che1,car/automobile
卡车,ka3 che1,truck vehicle
出租车,chu1 zu1 che1,taxi
打车,da3 che1,take a taxi
公,gong1,public/fair/equitable (c. 公共/公司/公斤)
公共,gong1 gong4,public/community (c. 公共汽车)
公共汽车,gong1 gong4 qi4 che1,bus (alt. 公交车)
校车,xiao4 che1,school bus
龙,long2,dragon/serpent
衣,yi1,wear/dress/put on clothes (c. 衣服) [衤]
衣服,yi1 fu2:,clothes/clothing/outfit
件,jian4,mw for a clothing top or an event
商店,shang1 dian4,shop/store (noun)
面包店,mian4 bao1 dian4,bakery/bread shop
咖啡店,ka1 fei1 dian4,cafe/coffee shop (alt. 咖啡厅)
开门,kai1 men2,open the door/open up a shop
关门,guan1 men2,close the door/close down a shop
开关,kai1 guan1,on-off switch
小时,xiao3 shi2,hour
半个小时,ban4 ge4 xiao3 shi2,half an hour/30 minutes
秒,miao3,seconds
刻,ke4,quarter/moment
两点一刻,liang3:2 dian3 yi1:2 ke4,2:15/quarter after 2:00/quarter past 2:00
差,cha1 :: cha4,difference/discrepancy (noun) :: differ from/fall short of (verb)
差别,cha1 bie2,difference/distinction/disparity
四点差一刻,si4 dian3 cha4 yi1:2 ke4,3:45/quarter until 4:00/quarter to 4:00
整,zheng3,exactly/whole/in good order/sharp (time) (c. 整理)
八点整,ba1 dian3:2 zheng3,8:00 sharp/exactly 8:00
早,zao3,morning/early (adj)
晚,wan3,night/evening/late (adj)
明天早上很早,ming2 tian1 zao3 shang4 hen3:2 zao3,early tomorrow morning
昨天晚上很晚,zuo2 tian1 wan3 shang4 hen3:2 wan3,late last night
筷,kuai4,chopsticks (alt. 筷子)
勺,shao2,spoon/ladle (alt. 勺子)
叉,cha1,fork (alt. 叉子)
刀,dao1,knife/blade (alt. 刀子) (c. 钢刀) [刂]
汤勺,tang1 shao2,ladle/soup spoon
碗,wan3,bowl (mw and noun)
杯,bei1,cup/glass (mw)
杯子,bei1 zi,cup/glass (noun)
盘,pan2,plate/dish/tray (mw)
盘子,pan2 zi,plate/dish (noun)
德,de2,virtue/goodness/morality (c. 德国/道德)
德国,de2 guo2,germany country
德语,de2 yu3,german language (alt. 德文)
道德,dao4 de2,virtue/morality/ethics
啤酒,pi2 jiu3,beer (loanword)
汁,zhi1,juice (c. 果汁)
果汁,guo3 zhi1,fruit juice
香蕉,xiang1 jiao1,banana
蛋糕,dan4 gao1,cake
鸟,niao3,bird
树,shu4,tree
办,ban4,manage/handle (c. 办公室/办法)
室,shi4,room/work unit (c. 办公室)
办公室,ban4 gong1 shi4,office/bureau
辆,liang4,mw for wheeled vehicles
马,ma3,horse (c. 马上)
篮,lan2,basket (receptable)
片,pian4,thin piece/slice/mw for slices (c. 照片)
瓶,ping2,bottle/pitcher/mw for liquids
瓶子,ping2 zi,bottle (noun)
照片,zhao4 pian4,photograph/picture usually from a camera (sim. 图片)
图片,tu2 pian4,image/picture usually not from a camera (sim. 照片)
打,da3,beat/strike/hit/play arm-ball sport
踢,ti1,kick/play leg-ball sport
球,qiu2,ball/sphere/globe
打球,da3 qiu2,play ball (verb or noun)
篮球,lan2 qiu2,basketball
足,zu2,foot/to be sufficient/ample
足球,zu2 qiu2,soccer
跑,pao3,run (c. 跑步)
步,bu4,step/pace (noun & c. 跑步/散步)
跑步,pao3 bu4,running/runs
泳,yong3,swimming (noun)
游泳,you2 yong3,swims (verb)/swimming (noun)
骑,qi2,riding/rides (animal or bicycle)
运,yun4,transport (verb)/transportation or luck (noun) (c. 运动/运费)
动,dong4,move/displace (c. 运动/动物)
运动,yun4 dong4,move or exercise (verb)/movement or motion (noun)
运气,yun4 qi4,luck
清,qing1,clear/distinct (c. 清楚)
楚,chu3,clear/distinct (c. 清楚)
清楚,qing1 chu3,clear (adj)/understand (verb)
漫,man4,overflow/flood (noun or verb) (c. 浪漫/漫游)
浪,lang4,ocean waves/unrestrained (c. 浪漫)
浪漫,lang4 man4,romantic
约会,yue1 hui4,appointment/date/engagement
不好意思,bu4 hao3 yi4 si1:,feel embarrassed/sorry for inconveniencing
诉,su4,complain/appeal/tell (c. 告诉)
告,gao4,tell/inform/accuse (c. 告诉)
告诉,gao4 su4,inform/tell someone about something
肚,du3 :: du4,tripe :: abdomen/stomach (c. 肚子)
肚子,du4 zi,stomach/belly
肚子疼,du4 zi teng2,stomachache/bellyache
留,liu2,remain/keep/retain
留在家工作,liu2 zai4 jia1 gong1 zuo4,work from home/wfh
定,ding4,fixed or definite (c. 一定/一定要)
一定,yi1:2 ding4,surely/necessarily/certainly/definitely
一定要,yi1:2 ding4 yao4,must
感,gan3,sense/feel/affect (c. 感冒)
冒,mao4,risk/dare/emit (c. 感冒)
感冒,gan3 mao4,have a cold/sick with a cold
药,yao4,medicine/drug (consumed as food or drink)
发,fa1 :: fa4,send out/issue/dispatch :: hair
烧,shao1,burn/bake/heat/roast
发烧,fa1 shao1,have a fever/sick with a fever
应,ying1,should/agree to do something (c. 应该)
该,gai1,should/ought to (c. 应该)
应该,ying1 gai1,should/ought to
舒,shu1,stretch/unfold/physically relax (c. 舒服)
舒服,shu1 fu2:,comfortable/feeling well (lit. stretch clothes)
病,bing4,disease/illness/sickness
生病,sheng1 bing4,get sick/fall ill
头,tou2,head/hair style
头疼,tou2 teng2,headache
她有头疼,ta1 you3 tou2 teng2,she has a headache
他的头很疼,ta1 de tou2 hen3 teng2,his head hurts
休,xiu1,rest/cease/stop for a period of time (c. 休息)
息,xi1,breath/news/interest on investment (c. 休息)
休息,xiu1 xi1:,rest/take a break
疼,teng2,hurts/painful
好吃,hao3 chi1,tasty/delicious/good to eat (adj)
好喝,hao3 he1,tasty/delicious/good to drink (adj)
好看,hao3 kan4,looks good/good looking/good to look (adj)
假,jia3 :: jia4,false/fake/artificial :: vacation
请假,qing3 jia4,ask for leave of absence/ask for time off
他喝得很快,ta1 he1 de hen3 kuai4,he drinks quickly
他喝水很快,ta1 he1 shui3:2 hen3 kuai4,he drinks water quickly
他喝很多水,ta1 he1 hen3 duo1 shui3,he drinks a lot of water
他喝得很快很多水,ta1 he1 de hen3 kuai4 hen3 duo1 shui3,he drinks a lot of water quickly
扮,ban4,disguise/dress up/play a role (c. 打扮)
打扮,da3 ban4,dress up/decorate
饿,e4,hungry
渴,ke3,thirsty
生日,sheng1 ri4,birthday
跟,gen1,with/go with/follow closely (very similar to 和)
跟着,gen1 zhe,follow after/immediately afterwards
一起,yi1:4 qi3,together/along (alt. 一块)
一块,yi1:2 kuai4,together/in company (alt. 一起)
和，一起,he2 : yi1:4 qi3,together with ... (northern)
跟，一起,gen1 : yi1:4 qi3,together with ... (southern)
跟你一起,gen1 ni3 yi1:4 qi3,together with you
跟我的狗一起,gen1 wo3 de gou3 yi1:4 qi3,together with my dog
希,xi1,hope (verb)/rare (adj) (c. 希望)
望,wang4,hope/expect/look forward (c. 希望)
希望,xi1 wang4,wish for/desire/hope
派,pai4,clique/group/faction (c. 派对)
派对,pai4 dui4,party (loanword)
司,si1,take charge of/manage (c. 公司)
公司,gong1 si1,company/corporation (location)
正,zheng4,straight/upright/positive (c. 正在)
正在,zheng4 zai4,actively doing or was doing (action)
大家,da4 jia1,influential family/everyone (greeting)
每个人,mei3 ge4 ren2,everyone/every person (non-greeting)
才,cai2,finally/took longer than expected/adv for delayed action (opposite 就)
情,qing2,situation/feeling/sentiment/emotion (c. 事情/同情/感情/心情/热情)
事,shi4,matter/affair (c. 事情/故事/同事/事业)
事情,shi4 qing2,matter/affair/task/thing to be told
一件事情,yi1:2 jian4 shi4 qing2,something/one thing/one matter
爸妈,ba4 ma1,parents/dad and mom (informal)
回去,hui2 qu4,go back (omit 去 when destination exists)
回来,hui2 lai2,come back (omit 来 when destination exists)
饭店,fan4 dian4,hotel/restaurant/diner (southern)
酒吧,jiu3 ba1,bar/pub/saloon
同,tong2,same (pronoun)/with (preposition) (c. 同时/同学/同情)
同学,tong2 xue2,schoolmate/classmate
色,se4,color (c. 颜色)
完,wan2,finish (after verb)/complete (adj)
读完了,du2 wan2 le,finished reading
已,yi3,already/finished (c. 已经)
经,jing1,through/after (c. 已经/经过/经常/经济)
已经,yi3 jing1,already (before verb)
已经喝,yi3 jing1 he1,already drinking
已经吃完了,yi3 jing1 chi1 wan2 le,already finished eating
费,fei4,expenses/cost/consume/fee (c. 运费/小费)
小费,xiao3 fei4,tip/charge/gratuitity (lit. small fee)
克,ke4,overcome/subdue/restrain (verb) (c. 克服)/gram weight (noun)
巧,qiao3,opportunely/coincidentally/skillful
力,li4,power/force (c. 有力/巧克力)
有力,you3 li4,powerful/forceful (describes men)
健美,jian4 mei3,healthy and beautiful (describes women)
巧克力,qiao3 ke4 li4,chocolate (loanword)
饱,bao3,full of food/no longer hungry
真,zhen1,really/truly/real/true
甜,tian2,sweet
甜点,tian2 dian3,dessert
味,wei4,taste/flavor/mw for medicine prescription ingredients
味道,wei4 dao4,flavor
游客,you2 ke4,traveler/tourist
如,ru2,if/like/as (c. 如果/比如)
如果,ru2 guo3,if/in case of/in the event that (before 就 in formal setting)
就,jiu4,then (after 如果)/conclusion based on previous statement/adv for prompt action (opposite 才)
如果，就,ru2 guo3 : jiu4,if ... then
蓝,lan2,blue color
试,shi4,try or experiment (verb)/exam or test (noun)
尝试,chang2 shi4,try/attempt (verb)
利,li4,gains/advantage/profit
裙子,qun2 zi,skirt/dress
衬,chen4,underwear/lining/liner (c. 衬衫)
衫,shan1,shirt/robe/gown/jacket (c. 衬衫)
衬衫,chen4 shan1,shirt/blouse
双,shuang1,pair (noun)/mw for pair objects (eg shoes but not pants)
鞋子,xie2 zi,shoes
蓝色的鞋子,lan2 se4 de xie2 zi,blue shoes
比,bi3,compare to/adj-er than (noun-比-noun-adj) (c. 比如) (opp. 没有)
这双比那双小,zhe4 shuang1 bi3 na4 shuang1 xiao3,this pair is smaller than that pair
意大利,yi4 da4 li4,italy country
裤子,ku4 zi,pants/trousers
质,zhi4,material/substance (c. 质量)
量,liang2 :: liang4,to measure :: amount/quantity/capacity (c. 质量)
质量,zhi4 liang4,quality (noun)
又,you4,connect like-to-like adjs (又-adj1-又-adj2)
那条鱼又大又好吃,na4 tiao2 yu2 you4 da4 you4 hao3 chi1,that fish is both big and tasty (alt. 既，又)
这所房子既新又现代化,zhe4 suo3 fang2 zi ji4 xin1 you4 xian4 dai4 hua4,this house is both new and modern (alt. 又，又)
绿,lv4,green color
黑,hei1,black color
耳,er3,ear/handle (c. 耳朵/耳机)
朵,duo3,earlobe (c. 耳朵)
耳朵,er3:2 duo3,ears (body part)
眼,yan3,eye/eyelet/hole/opening (c. 眼睛)
睛,jing1,eye/eyeball (c. 眼睛)
眼睛,yan3 jing1,eyes (body part)
头发,tou2 fa4:,hair on head
脸,lian3,face (body part)
鼻,bi2,nose (c. 鼻子)
鼻子,bi2 zi,nose (body part)
脚,jiao3,foot/feet (body part)
嘴,zui3,mouth/lips (c. 嘴巴/闭嘴)
巴,ba1,greatly desire/anxiously hope (c. 嘴巴)
嘴巴,zui3 ba1,mouth (body part)
有钱人,you3 qian2 ren2,rich person
是，的,shi4 : de,emphasize who/when/where/how regarding a past event (q&a)
你是什么时候到的,ni3 shi4 shen2 me shi2 hou4 dao4 de,when did you arrive?
我是昨天早上到的,wo3 shi4 zuo2 tian1 zao3 shang4 dao4 de,i arrived yesterday morning/it was yesterday morning that i arrived (when)
你是在哪里喝的,ni3 shi4 zai4 na3:2 li3 he1 de,where did you drink? (southern)
你是在哪儿喝的,ni3 shi4 zai4 na3 r he1 de,where did you drink? (northern)
我是在那家酒店喝的,wo3 shi4 zai4 na4 jia1 jiu3 dian4 he1 de,i drank at that hotel/it was at that hotel that i drank (where)
你是怎么来的,ni3 shi4 zen3 me lai2 de,how did you come?
我是坐快车来的,wo3 shi4 zuo4 kuai4 che1 lai2 de,i came by express train/it was by express train that i came (how)
你是跟谁出去的,ni3 shi4 gen1 shui2 chu1 qu4 de,who did you go out with?/with whom did you go out?
我是跟她出去的,wo3 shi4 gen1 ta1 chu1 qu4 de,i went out with her/it was with her that i went out (with whom)
离,li2,away from/apart/distance between locations (loc1-离-loc2) (c. 离婚/离开)
远,yuan3,distant/far (loc1-离-loc2-很远)
近,jin4,near/close/approximately (loc1-离-loc2-很近)
餐厅离学校不近,can1 ting1 li2 xue2 xiao4 bu4:2 jin4,the restaurant is not close to the school
我们离酒店很近,wo3 men li2 jiu3 dian4 hen3 jin4,we are close to the hotel/we are near the hotel
医院离这儿远吗,yi1 yuan4 li2 zhe4 r yuan3 ma,is the hospital far from here?
火车站离机场远不远,huo3 che1 zhan4 li2 ji1 chang3:2 yuan3 bu4 yuan3,is the train station far from the airport?
最近,zui4 jin4,recently/nearest
走路,zou3 lu4,walk/go by foot
我们得走路去那里,wo3 men dei3:2 zou3 lu4 qu4 na4 li3,we have to walk there/we have to go there on foot
飞,fei1,fly (verb)
飞机,fei1 ji1,airplane/flight
场,chang3,large place/stage (c. 机场)
机场,ji1 chang3,airport (alt. 飞机场)
飞机场,fei1 ji1 chang3,airport (alt. 机场)
班机,ban1 ji1,flight/airliner
哪个班机去香港,na3 ge4 ban1 ji1 qu4 xiang1 gang3,which flight goes to hong kong? (jqx)
要几个小时,yao4 ji3 ge4 xiao3 shi2,how many hours will it be? (duration)
停,ting2,stop/halt/park car
靠,kao4,lean on/come near
爪,zhao3,foot of animal/claw/paw/talon [爫]
火,huo3,fire/fiery/flaming (c. 火车/火锅) [灬]
火车,huo3 che1,train vehicle (noun)
票,piao4,ticket/ballot/banknote
机票,ji1 piao4,airplane tickets
飞机票,fei1 ji1 piao4,airplane tickets
火车票,huo3 che1 piao4,train tickets
让,rang4,let someone do something/make someone feel/allow (sim. 使)
迟,chi2,late/delayed (c. 推迟)
迟到了,chi2 dao4 le,arrived late
怎么办,zen3 me ban4,what to do?
还没有,hai2 mei2 you3,not yet/still have not (alt. 还没)
还没,hai2 mei2,not yet/still have not (alt. 还没有)
没什么,mei2 shen2 me,nothing
着,zhe :: zhao2,actively doing (after verb is -ing) :: touch/contact/feel (c. 着急)
雨,yu3,rain (noun)
下雨,xia4 yu3,rain (verb)
雪,xue3,snow (noun)
下雪,xia4 xue3,snow (verb)
阴,yin1,cloudy/overcast/yin element
阴天,yin1 tian1,cloudy day/overcast day (noun)
晴,qing2,clear weather/sunny weather (adj)
晴天,qing2 tian1,clear day/sunny day (noun)
天气,tian1 qi4,weather
带,dai4,bring with (verb)/band to hold item together (noun) (c. 带来)
带来,dai4 lai2,bring/bring about/produce
伞,san3,umbrella/parasol
冷,leng3,cold
有多,you3 duo1,how much +adj? (omit 有 if other verb exists)
有多冷,you3 duo1 leng3,how cold? (use 多冷 if other verb exists)
从来不,cong2 lai2 bu4,never (before verb)
从来没有,cong2 lai2 mei2 you3,have never/never before (before verb)
长,chang2 :: zhang3,long object :: chief or elder (noun)/enhance or increase (verb)
穿,chuan1,wear main clothing article (shirts dresses pants shoes)
刮,gua1,blow/scrape/shave (verb)
风,feng1,wind (fast moving air & noun)
刮风,gua1 feng1,be windy/blow wind
可能,ke3 neng2,might happen/maybe/possible
不可能,bu4 ke3 neng2,impossible (alt. 不行)
不行,bu4 xing2,impossible (alt. 不可能)
雨雪,yu3:2 xue3,sleet/rain and snow mix
在雨雪中,zai4 yu3:2 xue3 zhong1,surrounded by sleet/in the sleet
虽,sui1,although (c. 虽然)
然,ran2,yes/of course/pledge/promise (c. 虽然/当然/然后)
虽然,sui1 ran2,although/though/despite (before 但是)
但,dan4,but/however/yet (c. 但是)
但是,dan4 shi4,but/however/yet (after 虽然 & more formal and definite than 可是)
虽然，但是,sui1 ran2 : dan4 shi4,although ... but (express opposite opinions) (alt. 虽然，可是)
帽子,mao4 zi,hat/cap
短,duan3,short object
红,hong2,red color
颜,yan2,color (c. 颜色)
颜色,yan2 se4,color (noun)
黄,huang2,yellow color
用手,yong4 shou3,by hand +verb (lit. use hand)
用手洗,yong4 shou3:2 xi3,wash by hand/hand wash
紫,zi3,purple color
表,biao3,watch or timepiece (noun)/show or express (verb) (c. 手表/表演/表现)
手表,shou3:2 biao3,wristwatch/timepiece
卖完,mai4 wan2,sold out (verb)
聪,cong1,clever/intelligent/smart (only describes people) (c. 聪明)
聪明,cong1 ming2,clever/intelligent/smart
能干,neng2 gan4,capable/competent
快乐,kuai4 le4,happy/cheerful (wish someone a happy event)
新年快乐,xin1 nian2 kuai4 le4,happy new year
节日,jie2 ri4,festival/holiday
送,song4,see off/send off/give a gift
送货上门,song4 huo4 shang4 men2,deliver goods to your door/home delivery
礼,li3,gift/rite/ceremony (c. 礼物)
物,wu4,thing/object (c. 礼物/动物)
礼物,li3 wu4,gift/present (noun)
怎么过,zen3 me guo4,how to celebrate?/how to experience?
中国白酒,zhong1 guo2 bai2 jiu3,chinese white wine/baijiu
干杯,gan1 bei1,cheers/drink a toast (lit. dry cup)
法,fa3,law/regulation (c. 法国/办法)
法国,fa3 guo2,france country
法文,fa3 wen2,french language (alt. 法语)
祝,zhu4,wish/express good wishes (c. 庆祝)
我们多吃蔬菜吧,wo3 men duo1 chi1 shu1 cai4 ba,let's eat more vegetables (suggestion)
你需要少喝啤酒,ni3 xu1 yao4 shao3 he1 pi2 jiu3,you need to drink less beer (command)
让我们坐在火车的前面,rang4 wo3 men zuo4 zai4 huo3 che1 de qian2 mian4,allow us to sit at the front of the train
王老师在学校的后面,wang2 lao3 shi1 zai4 xue2 xiao4 de hou4 mian4,teacher wang is behind the school
我用左手写字,wo3 yong4 zuo3:2 shou3 xie3 zi4,i write with my left hand (no 边)
请靠右边开车得很慢,qing3 kao4 you4 bian1 kai1 che1 de hen3 man4,please drive slowly on the right side
李医生在你的旁边走,li3 yi1 sheng1 zai4 ni3 de pang2 bian1 zou3,doctor li walks beside you
没事吧,mei2 shi4 ba,are you alright?/is everything ok?
没事,mei2 shi4,i am fine/it is ok
喽,lou2 :: lou,gang member or bandit :: suffix to warn or call attention to event
心,xin1,heart/soul (c. 开心) [忄]
开心,kai1 xin1,happy (long lasting)
快，了,kuai4 : le,almost .../about to .../will ... soon (spoken)
我快到了,wo3 kuai4 dao4 le,i have almost arrived/i am almost there
快下雨了,kuai4 xia4 yu3 le,it will rain soon/it is about to rain
快要，了,kuai4 yao4 : le,almost .../about to .../will ... soon (written)
快要下雪了,kuai4 yao4 xia4 xue3 le,it will snow soon/it is about to snow
学生快要放学了,xue2 sheng1 kuai4 yao4 fang4 xue2 le,students are about to leave school
不但,bu4:2 dan4,not only (before 而且)
而,er2,and/as well as (c. 而且 & after 不但)
而且,er2 qie3,but also (after 不但)/besides/moreover
不但，而且,bu4:2 dan4 : er2 qie3,not only ... but also (cannot change subject)
