# chinese,pinyin,english and descriptions
昨天上午,zuo2 tian1 shang4 wu3,yesterday morning
今天上午,jin1 tian1 shang4 wu3,this morning
明天中午,ming2 tian1 zhong1 wu3,tomorrow at noon/noon tomorrow
昨天中午,zuo2 tian1 zhong1 wu3,yesterday at noon/noon yesterday
今天中午,jin1 tian1 zhong1 wu3,today at noon/noon today
明天下午,ming2 tian1 xia4 wu3,tomorrow afternoon
昨天下午,zuo2 tian1 xia4 wu3,yesterday afternoon
今天下午,jin1 tian1 xia4 wu3,this afternoon
明天晚上,ming2 tian1 wan3 shang4,tomorrow night (alt. 明晚)
明晚,ming2 wan3,tomorrow night (alt. 明天晚上)
昨天晚上,zuo2 tian1 wan3 shang4,last night/yesterday evening
今天晚上,jin1 tian1 wan3 shang4,tonight/this evening (alt. 今晚)
今晚,jin1 wan3,tonight (alt. 今天晚上)
个,ge4,individual/generic mw
一个,yi1:2 ge4,one unit/a/an
这个周末,zhe4 ge4 zhou1 mo4,this weekend
这个星期五,zhe4 ge4 xing1 qi1 wu3,this friday
下个星期,xia4 ge4 xing1 qi1,next week
下个星期一,xia4 ge4 xing1 qi1 yi1,next monday
上个月,shang4 ge4 yue4,last month
上个星期三,shang4 ge4 xing1 qi1 san1,last wednesday
明年二月,ming2 nian2 er4 yue4,next february/february of next year
去年九月,qu4 nian2 jiu3 yue4,last september/september of last year
我,wo3,i/me
你,ni3,you (informal)
您,nin2,you (formal)
他,ta1,he/him
她,ta1,she/her
它,ta1,it (non-human)
是,shi4,is/am/are/to be (equates two nouns) (neg. only 不)
是的,shi4 de,that is so/yes
是吗,shi4 ma,is that true?/is that so?
们,men,plural modifier for pronouns and some people
我们,wo3 men,we/us
你们,ni3 men,you (plural & informal)
他们,ta1 men,they/them (male or mixed)
她们,ta1 men,they/them (female)
它们,ta1 men,they/them (non-human)
的,de,n-的-n possession/adj-的-n description/v-的-n verb that noun did
我的,wo3 de,my/mine
你的,ni3 de,your (informal)
您的,nin2 de,your (formal)
他的,ta1 de,his
她的,ta1 de,her/hers
它的,ta1 de,its
我们的,wo3 men de,our/ours
你们的,ni3 men de,your/yours (plural & informal)
他们的,ta1 men de,their/theirs (male or mixed)
她们的,ta1 men de,their/theirs (female)
它们的,ta1 men de,their/theirs (non-human)
好,hao3 :: hao4,good/well/fine/easy (before verb) :: be fond of/be prone to
好的,hao3 de,express agreement or understanding/sure./ok.
好啊,hao3 a,express enthusiastic agreement/sure!/ok!
好吧,hao3 ba,express unenthusiastic agreement/sure.../ok...
好啦,hao3 la,express reluctant agreement/fine!/whatever!
你好,ni3:2 hao3,hello/hi
你好吗,ni3:2 hao3 ma,how are you? (not a greeting & not used with 你好)
